Likes,Dislikes
"colorful","monochromatic colors"
"vibrant","flat/muted/boring palettes"
"bright saturated colors","clashing environments"
"cohesive color schemes","incoherent scene layout"
"pink-purple-blue palettes","random disconnected elements"
"symmetry","abstract without clear story"
"outdoors/nature themes","single character focus"
"calming gardens","realistic photographic style"
"secret garden vibes","apocalyptic/doomsday/end-of-world themes"
"water features (ocean/lake/pond/pool)","horror elements"
"coastal/ocean scenery with a city backdrop","too dark/scary/ominous tone"
"Japanese city/garden aesthetics","fighting/violent conflict"
"koi ponds","sad/worried/distressed expressions"
"stylized cities","distressing central figure"
"future-glossy luminous buildings","obstruction/blocked crossing/guarding vibe"
"fantastical architecture","abandoned/ruined-city vibes"
"fantasy elements","menacing 'being watched' vibe"
"storytelling with clear emotional read","text/typography/labels/numbers/symbols/glyphs in the image"
"adventure/discovery/exploration vibes (boats/spaceships)","weird disembodied/cut-off limbs (arms/hands)"
"classic/timeless compositions","technical anatomy errors (especially hands)"
"mildly impressionist style","couple pasted like a sticker / awkwardly slotted into a corner"
"crisp sharp detail (when it suits the subject)","random couple instead of me and Jason"
"two people / couple present","duplicate/repeated scene"
"women/girls present","stiff/formal clothing"
"includes me and Jason (as the couple)",""
"couple integrated naturally/organically into the scene (not pasted)",""
